zhAddress,zhLink,zhName,zhNum,zhTime,zhType
深圳,position_detail.php?id=47132&keywords=&tid=0&lid=0,TEG14-移动端C++开发工程师,1,2019-01-30,技术类
深圳,position_detail.php?id=47133&keywords=&tid=0&lid=0,TEG14-音视频后台研发工程师,2,2019-01-30,技术类
广州,position_detail.php?id=47122&keywords=&tid=0&lid=0,WXG07-117 广州研发部客户端开发工程师（广州）,1,2019-01-30,技术类
深圳,position_detail.php?id=47123&keywords=&tid=0&lid=0,CSIG16-汽车和出行行业高级iOS研发工程师（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47124&keywords=&tid=0&lid=0,26699-智慧零售生态运营经理（深圳）,1,2019-01-30,产品/项目类
上海,position_detail.php?id=47125&keywords=&tid=0&lid=0,26699-智慧零售生态运营经理（深圳/上海）,1,2019-01-30,产品/项目类
北京,position_detail.php?id=47127&keywords=&tid=0&lid=0,CSIG16-车联网产品经理（车主服务&4S店新零售）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47128&keywords=&tid=0&lid=0,PCG10-浏览器搜索后台开发工程师,1,2019-01-30,技术类
深圳,position_detail.php?id=47114&keywords=&tid=0&lid=0,29303-计算机视觉高级研究员（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47115&keywords=&tid=0&lid=0,28481-医疗健康UI开发工程师（深圳）,1,2019-01-30,设计类
深圳,position_detail.php?id=47160&keywords=&tid=0&lid=0,18796-腾讯云游戏Web高级开发工程师(深圳）,2,2019-01-30,技术类
北京,position_detail.php?id=47161&keywords=&tid=0&lid=0,23671-企鹅号政务拓展运营,2,2019-01-30,内容编辑类
北京,position_detail.php?id=47162&keywords=&tid=0&lid=0,20772-企鹅影视经纪人,1,2019-01-30,市场类
广州,position_detail.php?id=47163&keywords=&tid=0&lid=0,WXG10-211 企业微信产品运营经理（数据/增长，广州）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47165&keywords=&tid=0&lid=0,22989-腾讯云网络产品数据分析师,2,2019-01-30,产品/项目类
深圳,position_detail.php?id=47154&keywords=&tid=0&lid=0,24012-新手游3D特效设计师,1,2019-01-30,设计类
深圳,position_detail.php?id=47155&keywords=&tid=0&lid=0,24012-执行制片岗,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47156&keywords=&tid=0&lid=0,18796-腾讯云游戏Android高级开发工程师(深圳）,2,2019-01-30,技术类
深圳,position_detail.php?id=47157&keywords=&tid=0&lid=0,18796- 腾讯云游戏iOS高级开发工程师(深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47158&keywords=&tid=0&lid=0,18796- 腾讯云游戏Windows高级开发工程师(深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47211&keywords=&tid=0&lid=0,15611-Unreal游戏客户端开发工程师（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47212&keywords=&tid=0&lid=0,"TZ-Corporate Communication, Senior Consultant（深圳）",1,2019-01-30,职能类
深圳,position_detail.php?id=47213&keywords=&tid=0&lid=0,22989-计划工程师,5,2019-01-30,技术类
北京,position_detail.php?id=47202&keywords=&tid=0&lid=0,23671-企鹅号策略产品经理（排重方向）-北京,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47203&keywords=&tid=0&lid=0,23671-企鹅号策略高级产品经理（新热度方向）（深圳总部）,1,2019-01-30,产品/项目类
北京,position_detail.php?id=47204&keywords=&tid=0&lid=0,23671-企鹅号策略高级产品经理（新热度方向）（北京）,1,2019-01-30,产品/项目类
成都,position_detail.php?id=47205&keywords=&tid=0&lid=0,PCG10-浏览器功能应用Android开发工程师,1,2019-01-30,技术类
北京,position_detail.php?id=47206&keywords=&tid=0&lid=0,17759-腾讯视频VIP运营商渠道BD经理（北京）,1,2019-01-30,市场类
武汉,position_detail.php?id=47207&keywords=&tid=0&lid=0,29316-深圳腾讯教育科技有限公司人力资源总监（武汉）,1,2019-01-30,职能类
北京,position_detail.php?id=47195&keywords=&tid=0&lid=0,23671-企鹅号策略产品经理（视频质量方向）-北京,2,2019-01-30,产品/项目类
北京,position_detail.php?id=47146&keywords=&tid=0&lid=0,30625-腾讯广告KA汽车行业经理,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47147&keywords=&tid=0&lid=0,21309-深圳市腾讯教育科技有限公司3D多媒体设计师,1,2019-01-30,设计类
深圳,position_detail.php?id=47136&keywords=&tid=0&lid=0,18402-ACT/ARPG手游商业化/本地化策划（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47137&keywords=&tid=0&lid=0,18402-ACT/ARPG手游市场运营（社区方向）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47139&keywords=&tid=0&lid=0,27092-Android客户端开发工程师（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47140&keywords=&tid=0&lid=0,CSIG14-金融监管产品经理（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47141&keywords=&tid=0&lid=0,19511-高级游戏研究经理（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47129&keywords=&tid=0&lid=0,25668-腾讯云国际市场经理（深圳）,1,2019-01-30,市场类
深圳,position_detail.php?id=47130&keywords=&tid=0&lid=0,WXG09-332 微信支付内容营销经理（深圳）,1,2019-01-30,市场类
北京,position_detail.php?id=47131&keywords=&tid=0&lid=0,25666-腾讯云广电运营商客户经理（北京/上海/深圳/成都）,1,2019-01-30,市场类
深圳,position_detail.php?id=47185&keywords=&tid=0&lid=0,PCG17-游戏数据分析师,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47186&keywords=&tid=0&lid=0,31112-腾讯视频游戏中心后台开发,1,2019-01-30,技术类
深圳,position_detail.php?id=47187&keywords=&tid=0&lid=0,31112-腾讯视频web前端开发工程师,1,2019-01-30,技术类
深圳,position_detail.php?id=47188&keywords=&tid=0&lid=0,15582-商业分析经理,1,2019-01-30,市场类
上海,position_detail.php?id=47189&keywords=&tid=0&lid=0,30625-腾讯广告大客户京东业务广告策划经理,1,2019-01-30,市场类
深圳,position_detail.php?id=47178&keywords=&tid=0&lid=0,25664-政府行业售前架构师（深圳/北京/上海/成都/广州）,8,2019-01-30,技术类
